IMF Z log(age) U B1 B2 V R u g r i z
CHA 0.0001 5.0 0.30049633413715626 1.345997229566547 1.3322563340231952 1.5941859472828523 1.7307838735357826 1.4063885398002447 1.8025474493231832 2.2557378427764596 2.6720735705408365 2.960352601802375
CHA 0.0001 5.48 0.3098950231075084 1.3545137983383913 1.3407892320423482 1.6023462129125683 1.7387080513694482 1.4159436186081371 1.8108898142401109 2.2637546532224895 2.679809209998735 2.967853834968968
CHA 0.0001 5.7 0.2912322553660358 1.3366597084144671 1.3229201480246762 1.5848023837732064 1.7213731095866953 1.3971638829192279 1.793189630106537 2.2463303607805094 2.662666828534609 2.950985814790085
CHA 0.0001 5.85 0.2573880352893232 1.3047837176899382 1.2910066150506492 1.5536984667019291 1.6907633664392805 1.3630194972608343 1.761701091910742 2.215512859315479 2.632496557614386 2.9213916052810567
CHA 0.0001 6.0 0.21294713926627806 1.26263195062071 1.2488110027856782 1.51246927424416 1.6501285050025214 1.318222284421052 1.7200078116660484 2.174634369590334 2.59237465118967 2.881960950714143
CHA 0.0001 6.1 0.16746573483496263 1.2184249499790885 1.2045833995100392 1.4684126770769392 1.6060397532843396 1.2726184540725902 1.675946903742767 2.130511602022556 2.548389005244379 2.8382583509623323
CHA 0.0001 6.18 0.12047016068330496 1.1727337608983373 1.1588696739342623 1.4229382835809576 1.560578769646771 1.2254779486792677 1.6304287183929254 2.0849986178725977 2.5030614050450644 2.7932009576488332
CHA 0.0001 6.24 0.08316079714848934 1.1365736955936079 1.1226858603901637 1.3872197045278978 1.5251401439339416 1.1880507849684157 1.594497183431597 2.049411714998184 2.4679564778347447 2.7585615985632095
CHA 0.0001 6.3 0.025071187217683644 1.0793009951575048 1.065392501016588 1.3302164083888277 1.4682986721182583 1.1299637638116926 1.5373997505487984 1.9924514879695159 2.4113808874132565 2.702311506989337
CHA 0.0001 6.35 -0.03810912624612284 1.0174854015617405 1.003547872271088 1.2689256597191778 1.407325660655022 1.066668768822408 1.4758583847954774 1.9313108640059204 2.3507976735437146 2.6422402531500757
CHA 0.0001 6.4 -0.15657755789577088 0.8986777731521065 0.8847551905739839 1.1488695485985365 1.2862420700735138 0.9486406130244781 1.3566348274272975 1.8104319881726219 2.2294619653417675 2.5208363381038246
CHA 0.0001 6.44 -0.3318534978885883 0.71992070294784 0.7060898952091113 0.9665508686025817 1.1010844089096623 0.7746780776953536 1.1764325474538828 1.6260817154312952 2.042967666944873 2.332710741463918
CHA 0.0001 6.48 -0.6636988457678425 0.3414111131879416 0.3285765938771483 0.5557943652265325 0.6657605151464754 0.45637626556559996 0.7843557542083751 1.1991904828985702 1.5911431286631035 1.8524921328968467
CHA 0.0001 6.51 -1.194197308985017 -0.280996992535143 -0.29216989749122835 -0.11753692699475238 -0.04526607781059511 -0.045567619079181276 0.1401407588500142 0.5013514488366418 0.8544569855901379 1.0721095558300227
CHA 0.0001 6.54 -1.2603199106962784 -0.36339212832890766 -0.37430190754411985 -0.20755753185665426 -0.14057223015733822 -0.10643013786419642 0.054394116621499955 0.40789126244771057 0.7556101474132483 0.9674329943578052
CHA 0.0001 6.57 -1.2517817052077027 -0.3625588122003691 -0.37335486720094035 -0.20987790551209828 -0.14502804232910194 -0.0953953747711459 0.05381869896927827 0.4042001204725928 0.7496709018433002 0.9590066233000393
CHA 0.0001 6.6 -1.142926951159124 -0.2587417200433948 -0.2694659402273438 -0.10786464811920338 -0.044360371186328074 0.014930646046094176 0.1568187341294781 0.5053945525536655 0.8492852125486628 1.056965297899358
CHA 0.0001 6.63 -0.8572910908053974 0.05046196767394395 0.03930724187388268 0.2146979537659508 0.2878164029032799 0.2923379070681712 0.47174531738604986 0.8343072112098803 1.1876351420500462 1.4055042316250002
CHA 0.0001 6.65 -0.8477128000187797 0.05485839700604034 0.04379372041350127 0.2165425685924931 0.2878920260807809 0.30352446763583674 0.47501399560212365 0.8350029241306395 1.1865159326884203 1.402500769264639
CHA 0.0001 6.68 -0.7777223967096529 0.13140228906774176 0.12022740912415841 0.2969527523121571 0.37193884082666084 0.37125021077503606 0.5530878684685071 0.9176675113454756 1.2733266917955226 1.4941671705254271
CHA 0.0001 6.7 -0.6834647333889992 0.25373298738155325 0.24213450726808894 0.43180882210112337 0.516877292549573 0.45672715749366477 0.680753311600666 1.058935089666638 1.4255178295298854 1.6588082958377348
CHA 0.0001 6.72 -0.49271918668772896 0.4715616285079971 0.4594114539511911 0.6673800907758316 0.7661900764777108 0.6387040669554814 0.9059928463888959 1.3034782834510827 1.6840963090403966 1.9331263193554427
CHA 0.0001 6.74 -0.24454386489311108 0.7469707814914459 0.7343680310573344 0.9577082525278282 1.068103394818676 0.8778865843664129 1.1876025160701977 1.6013716861915817 1.9939094313316281 2.257395901527301
CHA 0.0001 6.76 -0.16151189566191304 0.8347421631533569 0.8221777372090253 1.044628584771965 1.1541052973524835 0.9589739731043118 1.2749565763271895 1.6876650554497536 2.0794447770643436 2.343121467702202
CHA 0.0001 6.78 -0.1449553393383467 0.8512663085394649 0.8387176963723375 1.0608086829873653 1.1702424924187582 0.975424282562171 1.291294804463019 1.703808187228487 2.095576486482576 2.3591929300923957
CHA 0.0001 6.81 -0.06897583106690641 0.9249063241253777 0.9123121253405841 1.136854470823579 1.2487644494847736 1.051795472955289 1.3657755226884922 1.7815669760686652 2.1754750488658607 2.440763260050415
CHA 0.0001 6.85 0.1641836069357403 1.1455666937999882 1.1327409232068186 1.369511975661504 1.4895388868612947 1.285608677026429 1.5910172998603733 2.0205111668977813 2.4191901406133147 2.688456830606723
CHA 0.0001 6.86 0.17295601548693185 1.1534643091585766 1.14064741077209 1.3772738506197542 1.4972381893311628 1.2945680572424414 1.5988342045152115 2.0282461044083084 2.426808670275063 2.695896126025287
CHA 0.0001 6.88 0.20013427124343286 1.177406303969443 1.164616155543075 1.4009988340754094 1.5210376592402788 1.3224322773330335 1.6225771359078727 2.0520690231864456 2.4505253012728025 2.71926861851829
CHA 0.0001 6.89 0.21608763544150356 1.19142858566787 1.1786592018375073 1.4146619777632754 1.534500386250547 1.3388100033669565 1.6364003645037832 2.0656256099739188 2.4637894149993165 2.7322028451308475
CHA 0.0001 6.9 0.22203197269212205 1.1966109152153157 1.1838493677157382 1.4197261630377673 1.5395126364719989 1.3449231495816583 1.6415103729939111 2.070667519404244 2.468735465518376 2.7370213840689224
CHA 0.0001 6.92 0.2512956214670019 1.2221040847433748 1.2093859357337378 1.4444941774469928 1.5639745062185908 1.375021561659549 1.6665824857249354 2.095276619249025 2.4928837669844746 2.7606254040971243
